Parameter,Category,Source_Type,Patient_Profile,Protocol,Max_Sensitivity,Efficacy_Sensitivity
lambda_R1,Biological - Resistance,Literature,compromised,standard,0.1652044706682193,0.16423312459319497
lambda_R1,Biological - Resistance,Literature,compromised,continuous,0.09860181508038168,0.09811971678418607
lambda_R1,Biological - Resistance,Literature,compromised,adaptive,0.06681762872563206,0.06644088009286112
lambda_R1,Biological - Resistance,Literature,compromised,immuno_combo,0.09772115928741022,0.09737225626705767
lambda_R1,Biological - Resistance,Literature,compromised,hyperthermia,0.0359620292775909,0.035710267398778014
lambda_R2,Biological - Resistance,Literature,average,standard,0.09140251750837126,0.09089981424786972
lambda_R2,Biological - Resistance,Literature,average,continuous,0.1182820297473138,0.11754272328423238
lambda_R2,Biological - Resistance,Literature,average,adaptive,0.27126956699123067,0.2701840037869869
lambda_R2,Biological - Resistance,Literature,average,immuno_combo,0.08570118027091964,0.08533973049971354
lambda_R2,Biological - Resistance,Literature,average,hyperthermia,0.06493809566817287,0.06438271709014862
lambda_R2,Biological - Resistance,Literature,young,standard,0.1269087291146139,0.12623268416116026
lambda_R2,Biological - Resistance,Literature,young,continuous,0.14578385240678957,0.14482133539181127
lambda_R2,Biological - Resistance,Literature,young,adaptive,0.13928220283401105,0.138698085975528
lambda_R2,Biological - Resistance,Literature,young,immuno_combo,0.05398772738741103,0.053755589379037294
lambda_R2,Biological - Resistance,Literature,young,hyperthermia,0.2217461015419443,0.22048232527565098
lambda_R2,Biological - Resistance,Literature,elderly,standard,0.05308176728754367,0.05276517811910736
lambda_R2,Biological - Resistance,Literature,elderly,continuous,0.12174139931058336,0.12116254463961272
lambda_R2,Biological - Resistance,Literature,elderly,adaptive,0.08658281868917052,0.08622220808659126
lambda_R2,Biological - Resistance,Literature,elderly,immuno_combo,0.046192269990109294,0.04600127549709498
lambda_R2,Biological - Resistance,Literature,elderly,hyperthermia,0.07317012275316712,0.07270602433199523
lambda_R2,Biological - Resistance,Literature,compromised,standard,0.03577547157623811,0.03556817679643588
lambda_R2,Biological - Resistance,Literature,compromised,continuous,0.1557140749567763,0.15464981621341622
lambda_R2,Biological - Resistance,Literature,compromised,adaptive,0.3540316280822256,0.35259872210583365
lambda_R2,Biological - Resistance,Literature,compromised,immuno_combo,0.04386013619062465,0.043560220003011574
lambda_R2,Biological - Resistance,Literature,compromised,hyperthermia,0.0752521281383165,0.07481107407783051
beta1,Biological - Immune,Experimental,average,standard,0.8370522668494861,0.8323657006110635
beta1,Biological - Immune,Experimental,average,continuous,0.9058925631659338,0.900598698607225
beta1,Biological - Immune,Experimental,average,adaptive,0.8986230397725824,0.8948121506558933
beta1,Biological - Immune,Experimental,average,immuno_combo,0.988501973586095,0.9843733461388864
beta1,Biological - Immune,Experimental,average,hyperthermia,0.850200970588223,0.8454270636452795
beta1,Biological - Immune,Experimental,young,standard,0.84656283442193,0.8419688625251474
beta1,Biological - Immune,Experimental,young,continuous,0.8428054366735934,0.8377303093271607
beta1,Biological - Immune,Experimental,young,adaptive,0.9191307761799976,0.9154687033002599
beta1,Biological - Immune,Experimental,young,immuno_combo,1.0252653118453086,1.0209216287179332
beta1,Biological - Immune,Experimental,young,hyperthermia,0.8465045555460498,0.842031369465207
beta1,Biological - Immune,Experimental,elderly,standard,0.7614732160849851,0.757169018258333
beta1,Biological - Immune,Experimental,elderly,continuous,0.6406325125872191,0.6366215309943049
beta1,Biological - Immune,Experimental,elderly,adaptive,0.922178141695517,0.9180408665441881
beta1,Biological - Immune,Experimental,elderly,immuno_combo,0.9976865481067074,0.9933790620897903
beta1,Biological - Immune,Experimental,elderly,hyperthermia,0.7689834307936243,0.7645386154870988
beta1,Biological - Immune,Experimental,compromised,standard,0.8366368049427215,0.8314848407036781
beta1,Biological - Immune,Experimental,compromised,continuous,0.6954056260708349,0.6910937504406858
beta1,Biological - Immune,Experimental,compromised,adaptive,1.0049209147774196,1.0005344633874629
beta1,Biological - Immune,Experimental,compromised,immuno_combo,0.9432053310877335,0.9388234367169987
beta1,Biological - Immune,Experimental,compromised,hyperthermia,0.7989576881404525,0.7941660193175829
beta2,Biological - Immune,Literature,average,standard,0.06096957143401414,0.06062462660165835
beta2,Biological - Immune,Literature,average,continuous,0.0993295155476461,0.0987160198266284
beta2,Biological - Immune,Literature,average,adaptive,0.2666778246978134,0.26559661707685717
beta2,Biological - Immune,Literature,average,immuno_combo,0.20627071424560503,0.20538937117589623
beta2,Biological - Immune,Literature,average,hyperthermia,0.06347236912018323,0.06306411943198056
beta2,Biological - Immune,Literature,young,standard,0.05481662604977407,0.05455753306758248
beta2,Biological - Immune,Literature,young,continuous,0.08195479413925191,0.08144970337589764
beta2,Biological - Immune,Literature,young,adaptive,0.0994791819634467,0.09906676981637152
beta2,Biological - Immune,Literature,young,immuno_combo,0.08854702364290536,0.0881750147699197
beta2,Biological - Immune,Literature,young,hyperthermia,0.12384588791072587,0.12317799411359659
beta2,Biological - Immune,Literature,elderly,standard,0.04884768286898752,0.04855662357614821
beta2,Biological - Immune,Literature,elderly,continuous,0.287993377056734,0.2862003951206345
beta2,Biological - Immune,Literature,elderly,adaptive,0.14337586040128156,0.14277552837632473
beta2,Biological - Immune,Literature,elderly,immuno_combo,0.04140754530376707,0.041236318097129486
beta2,Biological - Immune,Literature,elderly,hyperthermia,0.05259372449181139,0.05227168781594485
beta2,Biological - Immune,Literature,compromised,standard,0.029361999815203665,0.029201435682752803
beta2,Biological - Immune,Literature,compromised,continuous,0.11986254451722228,0.11912441654596855
beta2,Biological - Immune,Literature,compromised,adaptive,0.2785861584311662,0.2773862145615468
beta2,Biological - Immune,Literature,compromised,immuno_combo,0.09151882590498203,0.091073697745436
beta2,Biological - Immune,Literature,compromised,hyperthermia,0.1403265644252576,0.13940237918330844
phi1,Biological - Immune,Literature,average,standard,0.048114707771851895,0.04783098673451505
phi1,Biological - Immune,Literature,average,continuous,0.20821180136435574,0.2069420959879239
phi1,Biological - Immune,Literature,average,adaptive,0.401681112411732,0.3999046593759754
phi1,Biological - Immune,Literature,average,immuno_combo,0.12830092874286758,0.1277646921205651
phi1,Biological - Immune,Literature,average,hyperthermia,0.061058693511019946,0.06071688329424934
phi1,Biological - Immune,Literature,young,standard,0.09291729532903625,0.09238399315801354
phi1,Biological - Immune,Literature,young,continuous,0.12676771258851352,0.12602774700470665
phi1,Biological - Immune,Literature,young,adaptive,0.047111612195488976,0.046916867340282005
phi1,Biological - Immune,Literature,young,immuno_combo,0.07515696246062041,0.07483998165220361
phi1,Biological - Immune,Literature,young,hyperthermia,0.15376694365649768,0.15293579879122893
phi1,Biological - Immune,Literature,elderly,standard,0.10369154175905991,0.1030576724801975
phi1,Biological - Immune,Literature,elderly,continuous,0.1084205298543752,0.10777822113860257
phi1,Biological - Immune,Literature,elderly,adaptive,0.07869528706234283,0.07835938094493691
phi1,Biological - Immune,Literature,elderly,immuno_combo,0.04513363237257172,0.044943388414509323
phi1,Biological - Immune,Literature,elderly,hyperthermia,0.0819057790218361,0.08136243713529347
phi1,Biological - Immune,Literature,compromised,standard,0.11890793758918773,0.11820186897778828
phi1,Biological - Immune,Literature,compromised,continuous,0.1276243254775889,0.12685098665552824
phi1,Biological - Immune,Literature,compromised,adaptive,0.1248664625080488,0.12433102152394912
phi1,Biological - Immune,Literature,compromised,immuno_combo,0.11985447664434466,0.11927882992689018
phi1,Biological - Immune,Literature,compromised,hyperthermia,0.08595010758545511,0.0854996087869636
phi2,Biological - Immune,Literature,average,standard,0.07802825663522642,0.07758611391013256
phi2,Biological - Immune,Literature,average,continuous,0.1701146562564975,0.16908979236162636
phi2,Biological - Immune,Literature,average,adaptive,0.18432269573659582,0.183550532025199
phi2,Biological - Immune,Literature,average,immuno_combo,0.07859727500108608,0.07826951429335896
phi2,Biological - Immune,Literature,average,hyperthermia,0.11256775370647701,0.1119258418517027
phi2,Biological - Immune,Literature,young,standard,0.05627697127293582,0.055950683445873714
phi2,Biological - Immune,Literature,young,continuous,0.20011667779827116,0.19891412142865772
phi2,Biological - Immune,Literature,young,adaptive,0.16440801038763128,0.16373636793283336
phi2,Biological - Immune,Literature,young,immuno_combo,0.05135912445785283,0.05114832322683569
phi2,Biological - Immune,Literature,young,hyperthermia,0.10538284690464472,0.10469857276052186
phi2,Biological - Immune,Literature,elderly,standard,0.020866487822738245,0.02072980788350541
phi2,Biological - Immune,Literature,elderly,continuous,0.11644255483334907,0.11568378124760398
phi2,Biological - Immune,Literature,elderly,adaptive,0.27057199589370134,0.26939076090942116
phi2,Biological - Immune,Literature,elderly,immuno_combo,0.050251834685888216,0.05004276285618555
phi2,Biological - Immune,Literature,elderly,hyperthermia,0.2222748603097493,0.22098780379451122
phi2,Biological - Immune,Literature,compromised,standard,0.10011698652140176,0.09953287654013637
phi2,Biological - Immune,Literature,compromised,continuous,0.05268411018589875,0.05235047323793442
phi2,Biological - Immune,Literature,compromised,adaptive,0.21018296995860883,0.2093194168540896
phi2,Biological - Immune,Literature,compromised,immuno_combo,0.052251809486950004,0.052011699622118046
phi2,Biological - Immune,Literature,compromised,hyperthermia,0.10792844603277668,0.10729531679157002
phi3,Biological - Immune,Literature,average,standard,0.07807987312948002,0.0775724755372375
phi3,Biological - Immune,Literature,average,continuous,0.2154192770872788,0.21414151172475376
phi3,Biological - Immune,Literature,average,adaptive,0.24154885671086573,0.24055214420340346
phi3,Biological - Immune,Literature,average,immuno_combo,0.07573270853846745,0.07541191947886568
phi3,Biological - Immune,Literature,average,hyperthermia,0.05602664202915206,0.05569799649908723
phi3,Biological - Immune,Literature,young,standard,0.1034313978316718,0.10284362114596278
phi3,Biological - Immune,Literature,young,continuous,0.11196446097281887,0.11127050460101712
phi3,Biological - Immune,Literature,young,adaptive,0.21821514468067474,0.2173393245326417
phi3,Biological - Immune,Literature,young,immuno_combo,0.12973675664676854,0.1291841097620126
phi3,Biological - Immune,Literature,young,hyperthermia,0.12546066795260374,0.12477954696370142
phi3,Biological - Immune,Literature,elderly,standard,0.049723136298785955,0.04940297277922483
phi3,Biological - Immune,Literature,elderly,continuous,0.1129393746949773,0.11224941304542287
phi3,Biological - Immune,Literature,elderly,adaptive,0.09168490146852937,0.0913075352739904
phi3,Biological - Immune,Literature,elderly,immuno_combo,0.09623941948195171,0.09583193790576272
phi3,Biological - Immune,Literature,elderly,hyperthermia,0.1464880942170862,0.14561840519682764
phi3,Biological - Immune,Literature,compromised,standard,0.10543009209441884,0.10475652361905086
phi3,Biological - Immune,Literature,compromised,continuous,0.17249291316331344,0.17145103234767162
phi3,Biological - Immune,Literature,compromised,adaptive,0.10656387040544384,0.10609387414518909
phi3,Biological - Immune,Literature,compromised,immuno_combo,0.04116179710062606,0.04096159781544524
phi3,Biological - Immune,Literature,compromised,hyperthermia,0.08923054805574218,0.08868538701987093
delta_I,Biological - Immune,Literature,average,standard,0.08740123076159795,0.08683823270269021
delta_I,Biological - Immune,Literature,average,continuous,0.12107916983127001,0.12032645926094881
delta_I,Biological - Immune,Literature,average,adaptive,0.13779001734386465,0.13721623864659055
delta_I,Biological - Immune,Literature,average,immuno_combo,0.22137314444382866,0.22044177043007007
delta_I,Biological - Immune,Literature,average,hyperthermia,0.11817958674349283,0.11753069814961492
delta_I,Biological - Immune,Literature,young,standard,0.06793517055177567,0.06756172661834126
delta_I,Biological - Immune,Literature,young,continuous,0.07074201605022945,0.07032426174513709
delta_I,Biological - Immune,Literature,young,adaptive,0.16229676700246054,0.16160009894637145
delta_I,Biological - Immune,Literature,young,immuno_combo,0.12753692132785185,0.126997169522912
delta_I,Biological - Immune,Literature,young,hyperthermia,0.1287635585380425,0.1280130192049843
delta_I,Biological - Immune,Literature,elderly,standard,0.12669911039184154,0.12602986878177871
delta_I,Biological - Immune,Literature,elderly,continuous,0.10370599938144534,0.10306620863854933
delta_I,Biological - Immune,Literature,elderly,adaptive,0.10775963983164277,0.107295169625832
delta_I,Biological - Immune,Literature,elderly,immuno_combo,0.09632123450201778,0.09591147528826972
delta_I,Biological - Immune,Literature,elderly,hyperthermia,0.10529840981968955,0.10468797185230076
delta_I,Biological - Immune,Literature,compromised,standard,0.0633342301241075,0.06296910462109667
delta_I,Biological - Immune,Literature,compromised,continuous,0.0798541426961154,0.07936154597124265
delta_I,Biological - Immune,Literature,compromised,adaptive,0.25536584965174536,0.254315289280296
delta_I,Biological - Immune,Literature,compromised,immuno_combo,0.095824284827903,0.09536611722375397
delta_I,Biological - Immune,Literature,compromised,hyperthermia,0.11863805007875887,0.11794566493572076
immune_resist_factor1,Biological - Immune,Hypothetical,average,standard,0.062312240594326496,0.06185517600843652
immune_resist_factor1,Biological - Immune,Hypothetical,average,continuous,0.10837448516042968,0.10770128637744095
immune_resist_factor1,Biological - Immune,Hypothetical,average,adaptive,0.06683080511093942,0.0663354087115062
immune_resist_factor1,Biological - Immune,Hypothetical,average,immuno_combo,0.08505510650929111,0.0846980970842042
immune_resist_factor1,Biological - Immune,Hypothetical,average,hyperthermia,0.12198122806791797,0.12130100412531239
immune_resist_factor1,Biological - Immune,Hypothetical,young,standard,0.07008008053618628,0.06978427737059724
immune_resist_factor1,Biological - Immune,Hypothetical,young,continuous,0.13011675763684857,0.129460060566695
immune_resist_factor1,Biological - Immune,Hypothetical,young,adaptive,0.13978905615810489,0.1392120963089911
immune_resist_factor1,Biological - Immune,Hypothetical,young,immuno_combo,0.10247179286554033,0.10191039312314511
immune_resist_factor1,Biological - Immune,Hypothetical,young,hyperthermia,0.14794660968898957,0.14698944115570678
immune_resist_factor1,Biological - Immune,Hypothetical,elderly,standard,0.10975535574654857,0.10911752160838499
immune_resist_factor1,Biological - Immune,Hypothetical,elderly,continuous,0.0568652739676105,0.05651186342980731
immune_resist_factor1,Biological - Immune,Hypothetical,elderly,adaptive,0.3119023220807102,0.31085138816512364
immune_resist_factor1,Biological - Immune,Hypothetical,elderly,immuno_combo,0.028992374551092107,0.028870921211078083
immune_resist_factor1,Biological - Immune,Hypothetical,elderly,hyperthermia,0.04976511369310234,0.04933630284771612
immune_resist_factor1,Biological - Immune,Hypothetical,compromised,standard,0.0784139640578194,0.07783149707532323
immune_resist_factor1,Biological - Immune,Hypothetical,compromised,continuous,0.37438228867753726,0.3721051654216683
immune_resist_factor1,Biological - Immune,Hypothetical,compromised,adaptive,0.1810896112389148,0.18022184842903566
immune_resist_factor1,Biological - Immune,Hypothetical,compromised,immuno_combo,0.04773740398288483,0.04763000900551288
immune_resist_factor1,Biological - Immune,Hypothetical,compromised,hyperthermia,0.0778326585436309,0.07748562613210597
immune_resist_factor2,Biological - Immune,Hypothetical,average,standard,0.11581671496644065,0.11500549302800028
immune_resist_factor2,Biological - Immune,Hypothetical,average,continuous,0.07920857612163862,0.07874664318893233
immune_resist_factor2,Biological - Immune,Hypothetical,average,adaptive,0.019322626954410324,0.01923992169776355
immune_resist_factor2,Biological - Immune,Hypothetical,average,immuno_combo,0.0706757144332098,0.07037959342399197
immune_resist_factor2,Biological - Immune,Hypothetical,average,hyperthermia,0.11372268281580977,0.11313379944531063
immune_resist_factor2,Biological - Immune,Hypothetical,young,standard,0.055007531986137254,0.05468807866929596
immune_resist_factor2,Biological - Immune,Hypothetical,young,continuous,0.13446150001681595,0.13357733194944052
immune_resist_factor2,Biological - Immune,Hypothetical,young,adaptive,0.14976668020736697,0.1491970109418266
immune_resist_factor2,Biological - Immune,Hypothetical,young,immuno_combo,0.20766200099020587,0.20679048924464621
immune_resist_factor2,Biological - Immune,Hypothetical,young,hyperthermia,0.16511815080922462,0.1641968863020397
immune_resist_factor2,Biological - Immune,Hypothetical,elderly,standard,0.10662679392000544,0.10593724511133833
immune_resist_factor2,Biological - Immune,Hypothetical,elderly,continuous,0.1490495387305454,0.14820272167245407
immune_resist_factor2,Biological - Immune,Hypothetical,elderly,adaptive,0.2645934160052213,0.2633915637308381
immune_resist_factor2,Biological - Immune,Hypothetical,elderly,immuno_combo,0.10087339847996461,0.10050076925518817
immune_resist_factor2,Biological - Immune,Hypothetical,elderly,hyperthermia,0.05498959034331178,0.054717399205414116
immune_resist_factor2,Biological - Immune,Hypothetical,compromised,standard,0.07095535741750422,0.07054628561294057
immune_resist_factor2,Biological - Immune,Hypothetical,compromised,continuous,0.12315568024304749,0.12239418154790732
immune_resist_factor2,Biological - Immune,Hypothetical,compromised,adaptive,0.16018192146860508,0.15952015391273405
immune_resist_factor2,Biological - Immune,Hypothetical,compromised,immuno_combo,0.05849416340119672,0.058282873944282367
immune_resist_factor2,Biological - Immune,Hypothetical,compromised,hyperthermia,0.029963809987886572,0.029781749850908555
gamma,Biological - Metastasis,Literature,average,standard,0.09419869249225725,0.09357564454783801
gamma,Biological - Metastasis,Literature,average,continuous,0.12390624832034902,0.12316899406843171
gamma,Biological - Metastasis,Literature,average,adaptive,0.18440105282893451,0.18364223167177454
gamma,Biological - Metastasis,Literature,average,immuno_combo,0.08047516976957175,0.0801365712777667
gamma,Biological - Metastasis,Literature,average,hyperthermia,0.11058295183495459,0.109942024103558
gamma,Biological - Metastasis,Literature,young,standard,0.04016713600927633,0.03996953316669429
gamma,Biological - Metastasis,Literature,young,continuous,0.14944840493713896,0.1485606259655116
gamma,Biological - Metastasis,Literature,young,adaptive,0.2915434354714692,0.2903471415073964
gamma,Biological - Metastasis,Literature,young,immuno_combo,0.1358029979225503,0.1352334061554311
gamma,Biological - Metastasis,Literature,young,hyperthermia,0.0897018717776659,0.08922057068159325
gamma,Biological - Metastasis,Literature,elderly,standard,0.10807910019113029,0.1074543616513281
gamma,Biological - Metastasis,Literature,elderly,continuous,0.12617325654733752,0.12541213132823037
gamma,Biological - Metastasis,Literature,elderly,adaptive,0.2213686189271776,0.22045554322190464
gamma,Biological - Metastasis,Literature,elderly,immuno_combo,0.15124430938640315,0.1506135682663161
gamma,Biological - Metastasis,Literature,elderly,hyperthermia,0.03126369341889605,0.031076000015181182
gamma,Biological - Metastasis,Literature,compromised,standard,0.11788484687633405,0.11718818843950418
gamma,Biological - Metastasis,Literature,compromised,continuous,0.11887892928066285,0.11813013630249128
gamma,Biological - Metastasis,Literature,compromised,adaptive,0.35266716465185804,0.35118305408684714
gamma,Biological - Metastasis,Literature,compromised,immuno_combo,0.16694776517267249,0.16616339851291154
gamma,Biological - Metastasis,Literature,compromised,hyperthermia,0.09920457374137152,0.09858589659528767
delta_P,Biological - Metastasis,Literature,average,standard,0.10364618728583502,0.10312880720871656
delta_P,Biological - Metastasis,Literature,average,continuous,0.09023243364785705,0.08967363835472282
delta_P,Biological - Metastasis,Literature,average,adaptive,0.18620459615491086,0.18543139696681202
delta_P,Biological - Metastasis,Literature,average,immuno_combo,0.08301414494782644,0.08266585155410491
delta_P,Biological - Metastasis,Literature,average,hyperthermia,0.03408416109104124,0.03387973716702203
delta_P,Biological - Metastasis,Literature,young,standard,0.11726612855008119,0.11660389623018408
delta_P,Biological - Metastasis,Literature,young,continuous,0.10644704873127887,0.10580364730723828
delta_P,Biological - Metastasis,Literature,young,adaptive,0.10471809350536168,0.10427058885600533
delta_P,Biological - Metastasis,Literature,young,immuno_combo,0.049477589665908886,0.049272714062816594
delta_P,Biological - Metastasis,Literature,young,hyperthermia,0.08934222818879721,0.08886571930048673
delta_P,Biological - Metastasis,Literature,elderly,standard,0.11926864892948212,0.1186069528797741
delta_P,Biological - Metastasis,Literature,elderly,continuous,0.15863775492080756,0.1576934014880596
delta_P,Biological - Metastasis,Literature,elderly,adaptive,0.2309307468147279,0.22994048934732084
delta_P,Biological - Metastasis,Literature,elderly,immuno_combo,0.06942727756907824,0.06913545400550308
delta_P,Biological - Metastasis,Literature,elderly,hyperthermia,0.08491602543939585,0.08438420721339486
delta_P,Biological - Metastasis,Literature,compromised,standard,0.04706908407899952,0.04680297153335841
delta_P,Biological - Metastasis,Literature,compromised,continuous,0.10738792091385929,0.10673243794673405
delta_P,Biological - Metastasis,Literature,compromised,adaptive,0.37254800971476054,0.370981429564314
delta_P,Biological - Metastasis,Literature,compromised,immuno_combo,0.02543453972742587,0.02531046438080875
delta_P,Biological - Metastasis,Literature,compromised,hyperthermia,0.04628009916512091,0.045969985526820294
alpha_A,Biological - Angiogenesis,Literature,average,standard,0.10225830676737827,0.10168964177063027
alpha_A,Biological - Angiogenesis,Literature,average,continuous,0.11679857701479253,0.1160795984983713
alpha_A,Biological - Angiogenesis,Literature,average,adaptive,0.12420367357606592,0.12367273085178539
alpha_A,Biological - Angiogenesis,Literature,average,immuno_combo,0.06865662196318238,0.06836830900548119
alpha_A,Biological - Angiogenesis,Literature,average,hyperthermia,0.05562749797012079,0.055290324964554834
alpha_A,Biological - Angiogenesis,Literature,young,standard,0.13094385401180922,0.13024278060542407
alpha_A,Biological - Angiogenesis,Literature,young,continuous,0.11290580629125511,0.11221492319097404
alpha_A,Biological - Angiogenesis,Literature,young,adaptive,0.13927066762245466,0.13869644455865007
alpha_A,Biological - Angiogenesis,Literature,young,immuno_combo,0.1389921650113918,0.13840200631801874
alpha_A,Biological - Angiogenesis,Literature,young,hyperthermia,0.09673668487802914,0.09621127628874222
alpha_A,Biological - Angiogenesis,Literature,elderly,standard,0.1279304872072909,0.12716052639570774
